DATE;HOUR;PRICE;AIRLINE
1 may;11:35;13061;Scat Airlines
1 may;20:05;12459;FlyArystan
1 may;16:45;15561;Scat Airlines
1 may;6:30;15561;Scat Airlines
1 may;17:20;15579;FlyArystan
1 may;7:45;15579;FlyArystan
1 may;19:25;16791;Qazaq Air
1 may;9:35;16791;Qazaq Air
1 may;13:20;17561;Scat Airlines
1 may;18:45;18 056;Air Astana
1 may;15:45;19 418;Scat Airlines
1 may;22:05;20 668;Scat Airlines
1 may;19:45;21 056;Air Astana
1 may;17:45;21 056;Air Astana
1 may;15:40;21 056;Air Astana
1 may;6:55;21 056;Air Astana
1 may;15:45;23 418;Scat Airlines
1 may;15:45;23 418;Scat Airlines
1 may;7:35;24 663;Air Astana
1 may;22:05;24 668;Scat Airlines
1 may;22:05;24 668;Scat Airlines
1 may;8:45;25 056;Air Astana
1 may;18:05;28 382;Scat Airlines
1 may;11:40;29 056;Air Astana
1 may;9:05;32 382;Scat Airlines
1 may;20:40;35 611;Scat Airlines
1 may;20:05;37 419;FlyArystan
1 may;17:20;37 419;FlyArystan
1 may;7:45;37 419;FlyArystan
1 may;23:10;43 056;Air Astana
1 may;11:05;45 877;Air Astana
1 may;10:25;49 067;Air Astana
1 may;19:05;49 110;Air Astana
1 may;16:45;10 311;Scat Airlines
1 may;6:30;10 311;Scat Airlines
2 may;7:45;10 379;FlyArystan
2 may;11:35;11 561;Scat Airlines
2 may;23:05;12 459;FlyArystan
2 may;19:50;12 459;FlyArystan
2 may;9:35;13 701;Qazaq Air
2 may;22:10;16 791;Qazaq Air
2 may;13:05;18 056;Air Astana
2 may;11:40;18 056;Air Astana
2 may;8:45;18 056;Air Astana
2 may;6:55;18 056;Air Astana
2 may;15:45;19 418;Scat Airlines
2 may;21:15;21 056;Air Astana
2 may;19:45;21 056;Air Astana
2 may;15:40;21 056;Air Astana
2 may;19:35;24 663;Air Astana
2 may;7:35;24 663;Air Astana
2 may;19:35;24 663;Air Astana
2 may;15:45;25 918;Scat Airlines
2 may;15:45;25 918;Scat Airlines
2 may;18:45;29 056;Air Astana
2 may;8:05;31 165;Scat Airlines
2 may;9:05;31 882;Scat Airlines
2 may;18:05;31 882;Scat Airlines
2 may;20:40;33 611;Scat Airlines
2 may;12:05;37 110;Air Astana
2 may;23:35;37 110;Air Astana
2 may;12:05;37 110;Air Astana
2 may;23:05;37 419;FlyArystan
2 may;19:50;37 419;FlyArystan
2 may;7:45;37 419;FlyArystan
2 may;6:30;13 061;Scat Airlines
2 may;9:35;17 561;Scat Airlines
2 may;7:45;13 061;Scat Airlines
3 may;15:45;13 701;Qazaq Air
3 may;22:05;18 699;FlyArystan
3 may;22:10;19 418;Scat Airlines
3 may;15:45;19 418;Scat Airlines
3 may;15:45;19 881;Qazaq Air
3 may;22:05;20 668;Scat Airlines
3 may;22:05;20 668;Scat Airlines
3 may;20:05;20 668;Scat Airlines
3 may;16:40;20 668;Scat Airlines
3 may;23:10;24 939;FlyArystan
3 may;8:45;24 939;FlyArystan
3 may;19:35;25 056;Air Astana
3 may;11:40;25 056;Air Astana
3 may;6:55;28 703;Air Astana
3 may;8:05;29 056;Air Astana
3 may;20:40;29 056;Air Astana
3 may;19:45;29 165;Scat Airlines
3 may;18:45;31 611;Scat Airlines
3 may;15:40;33 056;Air Astana
3 may;7:35;33 056;Air Astana
3 may;19:45;33 056;Air Astana
3 may;20:05;33 243;Air Astana
3 may;15:40;34 132;Scat Airlines
3 may;20:05;37 419;FlyArystan
3 may;16:40;37 419;FlyArystan
3 may;7:45;37 419;FlyArystan
3 may;17:45;38 056;Air Astana
